TIME,CH2
-3.933,0.01
-3.932,0.01
-3.931,0.01
-3.930,-0.01
-3.929,0.01
-3.928,0.01
-3.927,-0.01
-3.926,0.01
-3.925,0.01
-3.924,0.01
-3.923,0.01
-3.922,0.01
-3.921,0.01
-3.920,-0.01
-3.919,0.01
-3.918,-0.01
-3.917,0.01
-3.916,0.01
-3.915,0.03
-3.914,0.01
-3.913,0.01
-3.912,0.01
-3.911,-0.01
-3.910,0.01
-3.909,-0.01
-3.908,-0.01
-3.907,0.01
-3.906,-0.01
-3.905,-0.01
-3.904,0.01
-3.903,0.01
-3.902,0.01
-3.901,0.01
-3.900,0.01
-3.899,0.01
-3.898,0.01
-3.897,0.01
-3.896,-0.01
-3.895,-0.01
-3.894,0.01
-3.893,0.01
-3.892,0.01
-3.891,0.01
-3.890,0.01
-3.889,-0.01
-3.888,-0.03
-3.887,0.01
-3.886,0.01
-3.885,0.01
-3.884,0.01
-3.883,-0.01
-3.882,0.01
-3.881,0.01
-3.880,0.01
-3.879,0.03
-3.878,0.01
-3.877,0.01
-3.876,0.01
-3.875,-0.01
-3.874,-0.01
-3.873,0.01
-3.872,0.01
-3.871,0.01
-3.870,0.01
-3.869,-0.01
-3.868,0.01
-3.867,0.03
-3.866,0.01
-3.865,0.01
-3.864,0.03
-3.863,0.01
-3.862,0.01
-3.861,0.01
-3.860,0.01
-3.859,0.01
-3.858,0.01
-3.857,0.01
-3.856,0.01
-3.855,-0.01
-3.854,0.01
-3.853,0.01
-3.852,0.01
-3.851,0.01
-3.850,0.01
-3.849,0.05
-3.848,0.01
-3.847,0.01
-3.846,0.01
-3.845,0.01
-3.844,0.01
-3.843,-0.01
-3.842,0.01
-3.841,0.01
-3.840,0.01
-3.839,0.01
-3.838,0.01
-3.837,0.01
-3.836,-0.01
-3.835,0.01
-3.834,0.01
-3.833,0.01
-3.832,0.01
-3.831,0.01
-3.830,0.01
-3.829,0.01
-3.828,0.03
-3.827,0.01
-3.826,0.01
-3.825,0.03
-3.824,0.01
-3.823,0.01
-3.822,-0.01
-3.821,-0.01
-3.820,0.01
-3.819,0.01
-3.818,0.01
-3.817,0.01
-3.816,0.03
-3.815,0.01
-3.814,0.01
-3.813,0.01
-3.812,0.01
-3.811,0.01
-3.810,-0.01
-3.809,-0.01
-3.808,-0.01
-3.807,0.01
-3.806,0.01
-3.805,-0.01
-3.804,0.01
-3.803,0.01
-3.802,0.01
-3.801,0.01
-3.800,0.03
-3.799,0.01
-3.798,-0.01
-3.797,0.03
-3.796,0.03
-3.795,0.03
-3.794,0.01
-3.793,0.01
-3.792,0.01
-3.791,0.01
-3.790,0.01
-3.789,0.01
-3.788,0.01
-3.787,0.01
-3.786,-0.01
-3.785,0.03
-3.784,0.01
-3.783,0.01
-3.782,0.01
-3.781,0.01
-3.780,0.01
-3.779,0.01
-3.778,0.03
-3.777,0.01
-3.776,-0.01
-3.775,-0.01
-3.774,0.01
-3.773,-0.01
-3.772,0.01
-3.771,0.01
-3.770,0.03
-3.769,0.01
-3.768,0.01
-3.767,-0.01
-3.766,0.01
-3.765,-0.01
-3.764,-0.01
-3.763,0.01
-3.762,0.01
-3.761,0.03
-3.760,0.01
-3.759,-0.03
-3.758,0.01
-3.757,0.01
-3.756,0.01
-3.755,0.01
-3.754,0.03
-3.753,-0.01
-3.752,0.01
-3.751,0.01
-3.750,0.01
-3.749,0.01
-3.748,0.01
-3.747,0.01
-3.746,0.01
-3.745,0.01
-3.744,0.01
-3.743,-0.01
-3.742,0.01
-3.741,0.01
-3.740,0.01
-3.739,-0.01
-3.738,-0.01
-3.737,0.01
-3.736,0.03
-3.735,0.01
-3.734,0.01
-3.733,0.01
-3.732,0.01
-3.731,0.01
-3.730,0.01
-3.729,0.01
-3.728,0.01
-3.727,-0.01
-3.726,0.01
-3.725,0.01
-3.724,0.01
-3.723,-0.01
-3.722,0.01
-3.721,-0.01
-3.720,0.01
-3.719,0.05
-3.718,0.01
-3.717,0.01
-3.716,0.01
-3.715,0.01
-3.714,0.01
