TIME,CH2
-3.92,0
-3.92,-0.02
-3.92,0
-3.92,0
-3.92,0
-3.92,0
-3.92,-0.02
-3.92,0.02
-3.92,0
-3.91,0.02
-3.91,0
-3.91,0
-3.91,0
-3.91,0
-3.91,0.02
-3.91,0
-3.91,0
-3.91,0.02
-3.91,0.02
-3.9,0
-3.9,0
-3.9,-0.02
-3.9,0.02
-3.9,-0.02
-3.9,0
-3.9,0
-3.9,0
-3.9,0
-3.9,0
-3.89,0.02
-3.89,0
-3.89,0
-3.89,0.04
-3.89,0
-3.89,0
-3.89,0
-3.89,0.02
-3.89,0
-3.89,0
-3.88,-0.02
-3.88,0
-3.88,0.02
-3.88,0
-3.88,-0.02
-3.88,0
-3.88,0
-3.88,0
-3.88,0
-3.88,0
-3.87,0
-3.87,0.02
-3.87,0.04
-3.87,0
-3.87,0
-3.87,0
-3.87,0
-3.87,0
-3.87,0
-3.87,0
-3.86,0
-3.86,0
-3.86,-0.02
-3.86,0.02
-3.86,0
-3.86,0.02
-3.86,0
-3.86,0
-3.86,-0.02
-3.86,0
-3.85,0.02
-3.85,0
-3.85,0
-3.85,0
-3.85,0.02
-3.85,0
-3.85,0
-3.85,0
-3.85,0.02
-3.85,0.02
-3.84,0
-3.84,0
-3.84,0
-3.84,0.04
-3.84,0.02
-3.84,0
-3.84,0
-3.84,0.04
-3.84,0.02
-3.84,0
-3.83,0
-3.83,0.04
-3.83,0
-3.83,0
-3.83,0
-3.83,0
-3.83,0
-3.83,0
-3.83,0
-3.83,0.02
-3.82,0.02
-3.82,0
-3.82,0
-3.82,0.02
-3.82,0
-3.82,0
-3.82,0
-3.82,0
-3.82,0
-3.82,0
-3.81,-0.02
-3.81,0
-3.81,0
-3.81,0
-3.81,0
-3.81,0
-3.81,0
-3.81,0
-3.81,0.02
-3.81,0.02
-3.8,0
-3.8,0.02
-3.8,0
-3.8,0.02
-3.8,0
-3.8,0.04
-3.8,0
-3.8,0
-3.8,0.02
-3.8,0
-3.79,0
-3.79,0
-3.79,0.02
-3.79,-0.02
-3.79,0
-3.79,0.02
-3.79,0
-3.79,0
-3.79,-0.02
-3.79,0
-3.78,0.02
-3.78,0
-3.78,0.04
-3.78,0
-3.78,0
-3.78,0
-3.78,0.02
-3.78,0
-3.78,0
-3.78,0.02
-3.77,0
-3.77,-0.02
-3.77,0
-3.77,0
-3.77,0
-3.77,0
-3.77,0
-3.77,0
-3.77,0
-3.77,0
-3.76,0
-3.76,0
-3.76,0.02
-3.76,0
-3.76,0.02
-3.76,0
-3.76,0
-3.76,0
-3.76,0
-3.76,0
-3.75,0.04
-3.75,0.02
